Path,File,Date Acquired,Sample,Misc
C:\Data\2020\20200807_2DGC_JLOpt\,22TS51.D, 9 Sep 2020  11:45    , , 
Signal: 22TS51.D\FID1A.ch,,,,
0.026,19932,,,
0.026,19965,,,
0.026,19898,,,
0.026,19933,,,
0.026,19996,,,
0.026,19976,,,
0.026,19965,,,
0.027,19968,,,
0.027,19917,,,
0.027,19948,,,
0.027,20002,,,
0.027,20005,,,
0.027,19877,,,
0.027,19878,,,
0.027,19936,,,
0.027,19927,,,
0.027,19986,,,
0.027,20000,,,
0.027,19986,,,
0.028,19956,,,
0.028,19991,,,
0.028,19943,,,
0.028,19942,,,
0.028,20041,,,
0.028,20101,,,
0.028,20024,,,
0.028,19965,,,
0.028,20013,,,
0.028,20037,,,
0.028,20021,,,
0.028,20059,,,
0.029,20025,,,
0.029,19999,,,
0.029,19988,,,
0.029,20053,,,
0.029,20016,,,
0.029,20020,,,
0.029,19998,,,
0.029,19929,,,
0.029,19962,,,
0.029,20023,,,
0.029,20073,,,
0.029,20093,,,
0.03,20172,,,
0.03,20231,,,
0.03,20138,,,
0.03,20081,,,
0.03,20085,,,
0.03,20046,,,
0.03,20036,,,
0.03,20074,,,
0.03,20050,,,
0.03,20026,,,
0.03,20065,,,
0.03,20104,,,
0.031,20041,,,
0.031,20061,,,
0.031,20158,,,
0.031,20143,,,
0.031,20062,,,
0.031,20021,,,
0.031,19993,,,
0.031,19993,,,
0.031,20047,,,
0.031,20119,,,
0.031,20035,,,
0.031,19983,,,
0.032,19976,,,
0.032,19989,,,
0.032,20026,,,
0.032,20048,,,
0.032,20015,,,
0.032,19979,,,
0.032,20041,,,
0.032,20095,,,
0.032,20048,,,
0.032,20032,,,
0.032,20028,,,
0.032,19969,,,
0.033,19972,,,
0.033,20040,,,
0.033,20066,,,
0.033,20006,,,
0.033,19950,,,
0.033,19957,,,
0.033,19880,,,
0.033,19944,,,
0.033,19990,,,
0.033,19919,,,
0.033,19965,,,
0.033,20051,,,
0.034,20149,,,
0.034,20021,,,
0.034,20004,,,
0.034,20051,,,
0.034,20008,,,
0.034,20039,,,
0.034,20039,,,
0.034,20044,,,
0.034,20033,,,
0.034,20101,,,
0.034,20127,,,
0.034,20035,,,
0.035,20000,,,
0.035,19979,,,
0.035,19911,,,
0.035,19926,,,
0.035,20024,,,
0.035,20031,,,
0.035,20049,,,
0.035,20025,,,
0.035,20014,,,
0.035,19918,,,
0.035,19928,,,
0.035,20008,,,
0.036,19990,,,
0.036,20035,,,
0.036,20017,,,
0.036,19920,,,
0.036,19890,,,
0.036,19956,,,
0.036,20044,,,
0.036,19990,,,
0.036,20049,,,
0.036,20120,,,
0.036,20106,,,
0.036,20111,,,
0.037,20111,,,
0.037,19965,,,
0.037,19877,,,
0.037,19962,,,
0.037,20040,,,
0.037,19813,,,
0.037,19735,,,
0.037,19899,,,
0.037,19975,,,
0.037,19934,,,
0.037,19910,,,
0.037,19942,,,
0.038,19873,,,
0.038,19906,,,
0.038,19997,,,
0.038,20019,,,
0.038,20004,,,
0.038,19988,,,
0.038,19963,,,
0.038,19963,,,
0.038,20047,,,
0.038,20026,,,
0.038,20047,,,
0.038,20034,,,
0.039,20043,,,
0.039,19877,,,
0.039,19847,,,
0.039,19920,,,
0.039,19935,,,
0.039,20009,,,
0.039,20051,,,
0.039,20015,,,
0.039,19978,,,
0.039,19984,,,
0.039,20016,,,
0.039,19967,,,
0.04,20043,,,
0.04,20074,,,
0.04,20028,,,
0.04,20050,,,
0.04,20149,,,
0.04,20063,,,
0.04,19984,,,
0.04,19992,,,
0.04,20085,,,
0.04,20032,,,
0.04,20032,,,
0.04,20103,,,
0.041,20087,,,
0.041,20089,,,
0.041,20058,,,
0.041,20024,,,
0.041,20039,,,
0.041,20129,,,
0.041,20148,,,
0.041,20062,,,
0.041,20008,,,
0.041,20033,,,
0.041,19971,,,
0.041,20002,,,
0.042,20051,,,
0.042,19984,,,
0.042,19968,,,
0.042,20008,,,
0.042,20046,,,
0.042,19934,,,
0.042,19923,,,
0.042,20037,,,
0.042,20050,,,
0.042,20110,,,
0.042,20128,,,
0.042,20102,,,
0.043,20121,,,
0.043,20167,,,
0.043,20216,,,
0.043,20099,,,
0.043,20079,,,
0.043,20036,,,
0.043,19968,,,
0.043,20009,,,
0.043,20079,,,
0.043,20049,,,
0.043,20023,,,
0.043,20131,,,
0.044,20148,,,
0.044,20079,,,
0.044,20075,,,
0.044,20143,,,
0.044,20081,,,
0.044,20035,,,
0.044,20010,,,
0.044,19953,,,
0.044,19914,,,
0.044,19935,,,
0.044,19984,,,
0.044,19954,,,
0.045,19991,,,
0.045,20013,,,
0.045,20003,,,
0.045,20067,,,
0.045,20146,,,
0.045,20120,,,
0.045,20065,,,
0.045,20062,,,
0.045,20038,,,
0.045,20001,,,
0.045,19980,,,
